
[29/03/2020] Taichi_Yamazaki [OFFLINE] je dobio ban od admina Thomas_McDowell, razlog: 3. Warn
[31/03/2020] Vladimir_Abramovich [OFFLINE] je dobio ban od admina Sebastian_Carrasco, razlog: 3. Warn
[04/04/2020] Aaron_Arkwood [OFFLINE] je dobio ban od admina Julian_Holland, razlog: 3. Warn
[23/04/2020] Ellsworth_Weathersby [OFFLINE] je dobio ban od admina Sebastian_Carrasco, razlog: 3. Warn
[25/04/2020] Antonella_Martelli [OFFLINE] je dobio ban od admina Diego_Martinez, razlog: 3. Warn
[30/04/2020] Randolph_Sanders [OFFLINE] je dobio ban od admina Diego_Martinez, razlog: 3. Warn
[06/05/2020] Darkeem_Moss [OFFLINE] je dobio ban od admina Vladan_Vukasinovic, razlog: 3. Warn
[06/05/2020] Mile_Raonic [OFFLINE] je dobio ban od admina Vladan_Vukasinovic, razlog: 3. Warn
[10/05/2020] Maria_Fernandes [OFFLINE] je dobio ban od admina Aleksa_Todorovic, razlog: 3. Warn
[13/05/2020] Danio_Squilace [OFFLINE] je dobio ban od admina Thomas_Day, razlog: 3. Warn
[14/05/2020] Joseph_Galante [OFFLINE] je dobio ban od admina Vladan_Vukasinovic, razlog: 3. Warn
[14/05/2020] Danny_Roxford [OFFLINE] je dobio ban od admina Aleksa_Todorovic, razlog: 3. Warn
[17/05/2020] Christopher_Caproni [OFFLINE] je dobio ban od admina Jonathan_Brown, razlog: 3. Warn
[25/06/2020] Midhat_Spaho [OFFLINE] je dobio ban od admina Thomas_Day, razlog: 3. Warn
[04/07/2020] Ismael_Romero [OFFLINE] je dobio ban od admina Alonzo_Ward, razlog: 3. Warn
[31/07/2020] Mark_nieder [OFFLINE] je dobio ban od admina Jessica_Cooper, razlog: 3. Warn
[19/08/2020] Caleb_Gongsun [OFFLINE] je dobio ban od admina James_Langley, razlog: 3. Warn
[28/09/2020] Victor_Azzari [OFFLINE] je dobio ban od admina Jake_Reynolds, razlog: 3. Warn
[29/09/2020] Vukota_Saranovic [OFFLINE] je dobio ban od admina Valeria_Cortez, razlog: 3. Warn
