
[19/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Lucas_Ruiz sa $313000, razlog: .
[19/03/2020] AdmCMD: Brent je novcano kaznio igraca Demarcus_Brown sa $200, razlog: IC
[20/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $350000, razlog: .
[20/03/2020] AdmCMD: iWay je novcano kaznio igraca Quinn_Hudson sa $200, razlog: IC
[20/03/2020] AdmCMD: BrownNN je novcano kaznio igraca John_Harding sa $50, razlog: IC
[21/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $600000, razlog: .
[22/03/2020] AdmCMD: Brent je novcano kaznio igraca Pernell_Ottis sa $2200, razlog: IC
[22/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $240000, razlog: .
[22/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Uros_Lukic sa $10000, razlog: Adminske_usluge
[22/03/2020] AdmCMD: Floppy je novcano kaznio igraca Dieuson_Octave sa $2500, razlog: pd
[23/03/2020] AdmCMD: darwin je novcano kaznio igraca Anna_Rose sa $120000, razlog: .
[23/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $600000, razlog: .
[24/03/2020] AdmCMD: BrownNN je novcano kaznio igraca Raynold_Leblanc sa $100, razlog: IC
[24/03/2020] AdmCMD: iWay je novcano kaznio igraca Rakeem_Bell sa $300, razlog: Skin
[24/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $1000, razlog: Meh
[24/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Logan_Watson sa $1000000, razlog: .
[25/03/2020] AdmCMD: Khawaja je novcano kaznio igraca John_Harding sa $2000, razlog: Meh_usluge
[25/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Lucas_Ruiz sa $1500000, razlog: .
[26/03/2020] AdmCMD: iWay je novcano kaznio igraca Deontay_Price sa $20000, razlog: Usluge
[26/03/2020] AdmCMD: K3r1m je novcano kaznio igraca Pierre_Delince sa $5000, razlog: . 
[26/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Pablo_Galvez sa $250000, razlog: .
[27/03/2020] AdmCMD: BrownNN je novcano kaznio igraca Christian_Gomez sa $1000, razlog: Zadnja_Mehanicarska_Pomoc
[27/03/2020] AdmCMD: tacZo je novcano kaznio igraca Dieuson_Octave sa $5000, razlog: IC
[27/03/2020] AdmCMD: Floppy je novcano kaznio igraca Anna_McAdams sa $7000, razlog: pd
[27/03/2020] AdmCMD: Floppy je novcano kaznio igraca Pierre_Delince sa $7000, razlog: pd
[28/03/2020] AdmCMD: BrownNN je novcano kaznio igraca Kayla_Moore sa $5000, razlog: (4)14-IC
[28/03/2020] AdmCMD: BrownNN je novcano kaznio igraca Hachiro_Yamazaki sa $5000, razlog: (4)14-IC
[29/03/2020] AdmCMD: darwin je novcano kaznio igraca Sreten_Knezevic sa $50, razlog: slað
[29/03/2020] AdmCMD: BrownNN je novcano kaznio igraca Igor_Kostic sa $500, razlog: IC
[30/03/2020] AdmCMD: iWay je novcano kaznio igraca Michael_Jefferson sa $550, razlog: UC
[30/03/2020] AdmCMD: iWay je novcano kaznio igraca Marquise_Weathersby sa $550, razlog: IC
[30/03/2020] AdmCMD: iWay je novcano kaznio igraca Thomas_Harper sa $550, razlog: IC
[30/03/2020] AdmCMD: Khawaja je novcano kaznio igraca Lucas_Ruiz sa $50000, razlog: .
[30/03/2020] AdmCMD: tacZo je novcano kaznio igraca Allison_Cottrell sa $50, razlog: ic
[30/03/2020] AdmCMD: tacZo je novcano kaznio igraca Danijel_Karasicevic sa $500, razlog: IC
[30/03/2020] AdmCMD: Riviera je novcano kaznio igraca Vladimir_Abramovich sa $2500, razlog: IC
[30/03/2020] AdmCMD: tacZo je novcano kaznio igraca Waldemar_Dobrovsky sa $200, razlog: IC
[30/03/2020] AdmCMD: Riviera je novcano kaznio igraca Fatmir_Xhafaj sa $1500, razlog: /fixveh
[31/03/2020] AdmCMD: iWay je novcano kaznio igraca Joshua_Donovan sa $250000, razlog: fixveh
[31/03/2020] AdmCMD: darwin je novcano kaznio igraca Michael_Jefferson sa $6800, razlog: .
[31/03/2020] AdmCMD: Brent je novcano kaznio igraca Tyrae_Cooper sa $1500, razlog: IC
[01/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Danijel_Karasicevic sa $7000, razlog: IC
[01/04/2020] AdmCMD: Khawaja je novcano kaznio igraca Fawziyya_Khawaja sa $1600000, razlog: .
[01/04/2020] AdmCMD: iWay je novcano kaznio igraca Milos_Antonic sa $10000, razlog: greska
[02/04/2020] AdmCMD: iWay je novcano kaznio igraca Jordan_Maccagno sa $307347, razlog: Skyline
[03/04/2020] AdmCMD: K3r1m je novcano kaznio igraca Christopher_DeRossi sa $5000, razlog: IC
[04/04/2020] AdmCMD: BrownNN je novcano kaznio igraca Matthew_McNulty sa $500, razlog: IC
