
[20/03, 21:25:24] Richard_Peterson je kupio biznis 130($25000) (109.94.97.184).
[21/03, 16:31:05] Pablo_Galvez je kupio biznis 24($25000) (193.14.244.90).
[21/03, 21:40:13] Nathan_Flores je kupio biznis 43($35000) (109.92.104.86).
[21/03, 23:18:45] John_Harding(109.92.148.163) je kupio biznis 92 od Brian_Nixon(79.101.243.100) za 130000$
[22/03, 21:03:42] Tom_Hepner je kupio biznis 103($50000) (109.92.185.91).
[23/03, 23:39:12] David_Elizalde je kupio biznis 63($35000) (77.77.219.52).
[24/03, 02:02:00] Ewan_Blackwell je kupio biznis 112($25000) (178.221.108.188).
[26/03, 15:05:46] Ralph_Masotti je kupio biznis 123($10) (5.43.73.254).
[26/03, 17:09:34] Quinn_Hudson je kupio biznis 101($20000) (178.220.121.16).
[27/03, 01:19:40] Vladimir_Abramovich je kupio biznis 131($40000) (109.93.132.181).
[28/03, 19:09:44] Vladimir_Abramovich je kupio biznis 131($1) (109.93.132.181).
[28/03, 20:26:33] Pablo_Galvez je kupio biznis 23($30000) (193.217.223.149).
[29/03, 00:18:18] Anna_McAdams je kupio biznis 130($25000) (109.94.97.184).
[30/03, 02:03:02] Roman_Alekperov(109.93.132.181) je kupio biznis 85 od Jordan_Maccagno(188.71.228.177) za 35000$
[30/03, 02:06:05] Jordan_Maccagno je kupio biznis 129($35000) (188.71.228.177).
[30/03, 15:05:09] Scott_Prince je kupio biznis 75($1) (92.76.12.62).
[30/03, 22:37:57] William_Sherman je kupio biznis 115($30000) (62.4.55.64).
[31/03, 00:27:53] Joshua_Donovan je kupio biznis 10($1) (95.168.121.44).
[31/03, 15:22:07] Alicia_Macious(193.14.247.108) je kupio biznis 23 od Pablo_Galvez(193.217.223.149) za 27500$
[31/03, 22:20:27] Ethan_Queen(31.223.152.0) je kupio biznis 2 od Andrew_Parker(178.149.208.37) za 13500$
[31/03, 23:09:56] Andrew_Parker je kupio biznis 125($30000) (178.149.208.37).
[01/04, 17:36:22] Alberico_Cappello je kupio biznis 14($30000) (109.92.236.69).
[05/04, 01:09:15] Viktor_Stern je kupio biznis 56($30000) (109.175.97.120).
[05/04, 03:56:08] Hank_Joeng je kupio biznis 84($50000) (95.168.118.9).
[05/04, 14:15:29] Julian_Holland je kupio biznis 132($1) (78.3.120.158).
[05/04, 21:21:37] Bob_Rattlesnake je kupio biznis 50($35000) (151.252.214.203).
[05/04, 21:56:00] Jesse_Rattlesnake je kupio biznis 110($35000) (94.253.148.243).
[05/04, 23:04:18] Steven_Wright je kupio biznis 20($35000) (109.175.102.141).
[05/04, 23:06:30] Nikac_Babalj(89.146.159.67) je kupio biznis 20 od Steven_Wright(109.175.102.141) za 35000$
