
[24/03/2020 , 00:02:41] Karen_Moore(92.55.122.236) je uplatio 2500$ u proracun.
[25/03/2020 , 00:30:14] Myles_Turner(178.79.16.103) je uplatio 1$ u proracun.
[27/03/2020 , 16:22:19] Sammy_Amato(95.168.120.35) je uplatio 1$ u proracun.
[03/04/2020 , 19:55:52] David_Elizalde(77.77.218.29) je uplatio 1$ u proracun.
[09/04/2020 , 20:54:06] Abram_Bensaid(89.164.3.122) je uplatio 1$ u proracun.
[11/04/2020 , 17:38:24] Vukota_Saranovic(79.140.150.61) je uplatio 20$ u proracun.
[11/04/2020 , 22:04:04] Niksa_Tadic(141.138.32.246) je uplatio 10$ u proracun.
[12/04/2020 , 10:53:29] Brandon_Pollard(178.220.211.105) je uplatio 1$ u proracun.
[13/04/2020 , 16:42:54] Hank_Joeng(31.45.226.218) je uplatio 100$ u proracun.
[13/04/2020 , 22:34:36] Ryuzaki_Kansuke(109.122.123.180) je uplatio 60$ u proracun.
[16/04/2020 , 09:28:28] Terrel_Cooper(31.223.155.211) je uplatio 6500$ u proracun.
[16/04/2020 , 09:30:27] Terrel_Cooper(31.223.155.211) je uplatio 6500$ u proracun.
[16/04/2020 , 10:51:59] Christopher_DeRossi(92.240.57.18) je uplatio 15008$ u proracun.
[16/04/2020 , 16:08:31] Ashlyn_Calchas(89.216.224.16) je uplatio 2$ u proracun.
[16/04/2020 , 17:17:55] Jimmy_Cheng(89.146.151.67) je uplatio 1500$ u proracun.
[17/04/2020 , 14:13:21] Aniyah_Norwood(95.156.144.50) je uplatio 1$ u proracun.
[17/04/2020 , 14:13:24] Aniyah_Norwood(95.156.144.50) je uplatio 2$ u proracun.
[18/04/2020 , 16:50:36] Igor_Metveyev(109.245.37.176) je uplatio 1200$ u proracun.
[18/04/2020 , 16:51:00] Igor_Metveyev(109.245.37.176) je uplatio 100$ u proracun.
[18/04/2020 , 16:51:03] Igor_Metveyev(109.245.37.176) je uplatio 900$ u proracun.
[18/04/2020 , 16:51:17] Arnold_Hopkins(178.148.181.11) je uplatio 23$ u proracun.
[18/04/2020 , 16:51:58] Mick_Fallon(77.238.211.99) je uplatio 1$ u proracun.
[18/04/2020 , 16:52:33] Thomas_McLennan(178.220.53.216) je uplatio 7$ u proracun.
[18/04/2020 , 16:52:39] Miguel_Scott(79.143.111.164) je uplatio 9$ u proracun.
[18/04/2020 , 16:52:48] Miguel_Scott(79.143.111.164) je uplatio 1$ u proracun.
[18/04/2020 , 16:52:49] Miguel_Scott(79.143.111.164) je uplatio 2$ u proracun.
[18/04/2020 , 16:52:49] Miguel_Scott(79.143.111.164) je uplatio 3$ u proracun.
[18/04/2020 , 16:52:50] Miguel_Scott(79.143.111.164) je uplatio 4$ u proracun.
[18/04/2020 , 16:52:51] Miguel_Scott(79.143.111.164) je uplatio 5$ u proracun.
[18/04/2020 , 16:52:51] Miguel_Scott(79.143.111.164) je uplatio 6$ u proracun.
[18/04/2020 , 16:52:52] Miguel_Scott(79.143.111.164) je uplatio 7$ u proracun.
[18/04/2020 , 16:53:12] Mick_Fallon(77.238.211.99) je uplatio 6$ u proracun.
[18/04/2020 , 16:53:13] Mick_Fallon(77.238.211.99) je uplatio 6$ u proracun.
[18/04/2020 , 16:53:13] Mick_Fallon(77.238.211.99) je uplatio 6$ u proracun.
[22/04/2020 , 22:06:25] Brooks_Connor(109.92.194.58) je uplatio 1500$ u proracun.
[22/04/2020 , 22:20:36] Joshua_Donovan(95.168.121.45) je uplatio 500$ u proracun.
[23/04/2020 , 21:39:10] Arnold_Hopkins(178.148.181.11) je uplatio 50$ u proracun.
[23/04/2020 , 23:04:36] Mick_Fallon(77.238.211.99) je uplatio 69$ u proracun.
[23/04/2020 , 23:04:45] Mick_Fallon(77.238.211.99) je uplatio 69$ u proracun.
[23/04/2020 , 23:04:45] Mick_Fallon(77.238.211.99) je uplatio 69$ u proracun.
[26/04/2020 , 13:37:36] Hans_Schwammberger(178.221.185.75) je uplatio 1$ u proracun.
[28/04/2020 , 22:21:10] Mile_Raonic(45.86.200.29) je uplatio 20750$ u proracun.
[28/04/2020 , 22:23:43] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:43] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:44] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:44] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:44] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:44] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:45] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:45] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:45] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:46] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:46] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:46] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:46] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:47] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:47] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:47] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:48] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:48] Mile_Raonic(45.86.200.29) je uplatio 5$ u proracun.
[28/04/2020 , 22:23:49] Mile_Raonic(45.86.200.29) je uplatio 50$ u proracun.
[28/04/2020 , 22:23:50] Mile_Raonic(45.86.200.29) je uplatio 50$ u proracun.
