(20/03/2020, 05:05:00) Luana_Romero[SQLID: 2602] je radi neaktivnosti izgubio posao ID 1 i 2 sati ugovora.
(21/03/2020, 05:05:00) Jim_Milton[SQLID: 2382] je radi neaktivnosti izgubio posao ID 1 i 14 sati ugovora.
(21/03/2020, 05:05:00) Joe_Ferrari[SQLID: 5744] je radi neaktivnosti izgubio posao ID 7 i 3 sati ugovora.
(22/03/2020, 05:05:00) Deshawn_Johnson[SQLID: 1224] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(22/03/2020, 05:05:00) Will_Colluci[SQLID: 5854] je radi neaktivnosti izgubio posao ID 14 i 0 sati ugovora.
(24/03/2020, 05:05:00) James_McLaren[SQLID: 5005] je radi neaktivnosti izgubio posao ID 15 i 15 sati ugovora.
(25/03/2020, 05:05:00) Thomas_Bradshaw[SQLID: 5787] je radi neaktivnosti izgubio posao ID 7 i 17 sati ugovora.
(26/03/2020, 05:05:00) Gustavo_Javier[SQLID: 1001] je radi neaktivnosti izgubio posao ID 7 i 13 sati ugovora.
(26/03/2020, 05:05:00) Joseph_Accardo[SQLID: 5873] je radi neaktivnosti izgubio posao ID 2 i 3 sati ugovora.
(26/03/2020, 05:05:00) Juan_Sacchetti[SQLID: 5874] je radi neaktivnosti izgubio posao ID 2 i 1 sati ugovora.
(26/03/2020, 05:05:00) Naeem_White[SQLID: 5877] je radi neaktivnosti izgubio posao ID 15 i 0 sati ugovora.
(26/03/2020, 05:05:00) Demarcus_White[SQLID: 5878] je radi neaktivnosti izgubio posao ID 15 i 0 sati ugovora.
(27/03/2020, 05:05:00) Hank_Joeng[SQLID: 353] je radi neaktivnosti izgubio posao ID 6 i 1 sati ugovora.
(27/03/2020, 05:05:00) Alex_Reed[SQLID: 5807] je radi neaktivnosti izgubio posao ID 7 i 3 sati ugovora.
(27/03/2020, 05:05:00) Patrick_Evans[SQLID: 5887] je radi neaktivnosti izgubio posao ID 1 i 0 sati ugovora.
(28/03/2020, 05:05:00) Juan_Ayala[SQLID: 159] je radi neaktivnosti izgubio posao ID 15 i 1 sati ugovora.
(28/03/2020, 05:05:00) Mark_Houston[SQLID: 799] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(28/03/2020, 05:05:00) Ontrel_Byrd[SQLID: 3014] je radi neaktivnosti izgubio posao ID 9 i 37 sati ugovora.
(28/03/2020, 05:05:00) David_Clark[SQLID: 3064] je radi neaktivnosti izgubio posao ID 15 i 3 sati ugovora.
(28/03/2020, 05:05:00) Craig_Johnson[SQLID: 3961] je radi neaktivnosti izgubio posao ID 9 i 1 sati ugovora.
(28/03/2020, 05:05:00) Jamaad_Miller[SQLID: 5832] je radi neaktivnosti izgubio posao ID 1 i 4 sati ugovora.
(29/03/2020, 05:05:01) Darko_Grozdanov[SQLID: 5905] je radi neaktivnosti izgubio posao ID 1 i 3 sati ugovora.
(30/03/2020, 05:05:00) Edward_Hawkins[SQLID: 1823] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
(30/03/2020, 05:05:00) Deshawn_Outlaw[SQLID: 4147] je radi neaktivnosti izgubio posao ID 5 i 4 sati ugovora.
(30/03/2020, 05:05:00) Demarco_Rogers[SQLID: 4443] je radi neaktivnosti izgubio posao ID 7 i 8 sati ugovora.
(30/03/2020, 05:05:00) Tom_Johnsonn[SQLID: 5886] je radi neaktivnosti izgubio posao ID 16 i 1 sati ugovora.
(30/03/2020, 05:05:00) Marcus_Jackson[SQLID: 5910] je radi neaktivnosti izgubio posao ID 7 i 1 sati ugovora.
(30/03/2020, 05:05:00) Ryder_Montana[SQLID: 5918] je radi neaktivnosti izgubio posao ID 4 i 1 sati ugovora.
(31/03/2020, 05:05:00) Ryan_Stinson[SQLID: 844] je radi neaktivnosti izgubio posao ID 7 i 2 sati ugovora.
(31/03/2020, 05:05:00) Armando_Alvarado[SQLID: 5327] je radi neaktivnosti izgubio posao ID 9 i 31 sati ugovora.
(31/03/2020, 05:05:00) Keandra_Gray[SQLID: 5571] je radi neaktivnosti izgubio posao ID 9 i 103 sati ugovora.
(31/03/2020, 05:05:00) Anthony_Touge[SQLID: 5926] je radi neaktivnosti izgubio posao ID 8 i 3 sati ugovora.
(31/03/2020, 05:05:00) Jacob_Shaffer[SQLID: 5932] je radi neaktivnosti izgubio posao ID 7 i 0 sati ugovora.
