
[19/03/2020 , 16:57:48] Vondel_Joyner(109.122.123.120) je platio $300 Demarco_Rogersu (109.92.122.148)
[19/03/2020 , 17:19:46] Ed_Philipp(92.36.166.231) je platio $700 Martin_Aringtonu (178.223.183.171)
[19/03/2020 , 17:20:58] Keandra_Gray(109.92.122.148) je platio $10000 Lyova_Pavlovu (178.223.143.216)
[19/03/2020 , 17:25:15] Lyova_Pavlov(178.223.143.216) je platio $11000 Demarco_Rogersu (109.92.122.148)
[19/03/2020 , 18:12:23] Emily_Brown(77.29.96.29) je platio $400 Daniel_Hooveru (146.255.75.226)
[19/03/2020 , 18:15:59] Rakeem_Bell(109.206.115.39) je platio $20000 Jacody_Cottonu (87.116.177.152)
[19/03/2020 , 18:30:15] Rakeem_Bell(109.206.115.39) je platio $32000 Jacody_Cottonu (87.116.177.152)
[19/03/2020 , 18:41:47] Hristo_Zhelyaskov(87.116.178.250) je platio $700 Rakeem_Bellu (109.206.115.39)
[19/03/2020 , 18:50:23] Jacody_Cotton(87.116.177.152) je platio $1000 Quinn_Hudsonu (178.220.121.16)
[19/03/2020 , 18:50:26] Jacody_Cotton(87.116.177.152) je platio $1000 Quinn_Hudsonu (178.220.121.16)
[19/03/2020 , 18:58:55] Andrew_Parker(178.149.208.37) je platio $200 Brooks_Connoru (109.93.89.145)
[19/03/2020 , 19:19:33] Hjorturn_Thyorbjorn(92.53.35.230) je platio $700 Shewann_Sellviou (109.92.191.202)
[19/03/2020 , 19:20:32] Daniel_Fuerte(158.255.211.99) je platio $1600 Kayla_Mooreu (141.136.9.213)
[19/03/2020 , 19:22:37] Rakeem_Bell(109.206.115.39) je platio $400 Daniel_Hooveru (146.255.75.226)
[19/03/2020 , 19:32:36] Ed_Philipp(92.36.166.231) je platio $100 Martin_Aringtonu (178.223.183.171)
[19/03/2020 , 20:16:21] Ed_Philipp(92.36.166.231) je platio $2000 Rakeem_Bellu (109.206.115.39)
[19/03/2020 , 20:16:48] Hristo_Zhelyaskov(87.116.178.250) je platio $5000 Jacody_Cottonu (87.116.177.152)
