(12/04/2020, 20:10:22) Vukota_Saranovic[SQL:5953] je uzeo 111$ iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 19:32:33) Jovica_Dudic[SQL:4553] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 19:57:46) Davor_Simovic[SQL:4379] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 19:58:14) Vuk_Koprivica[SQL:5746] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 19:59:02) Vuk_Koprivica[SQL:5746] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 23:41:26) Jovica_Dudic[SQL:4553] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 23:41:27) Davor_Simovic[SQL:4379] je uzeo (0) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 23:41:32) Davor_Simovic[SQL:4379] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(15/04/2020, 23:52:23) Vuk_Koprivica[SQL:5746] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 13:21:14) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 14:14:58) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 15:25:45) Jovica_Dudic[SQL:4553] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 15:25:53) Jovica_Dudic[SQL:4553] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 19:47:56) Davor_Simovic[SQL:4379] je uzeo M4(130) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 19:48:01) Vesko_Laketa[SQL:5831] je uzeo Shotgun(15) iz Warehousea Skaljarski klan[SQL:7].
(16/04/2020, 20:50:35) Vuk_Koprivica[SQL:5746] je uzeo M4(80) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:00:53) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:21) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:24) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:32) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:35) Vuk_Koprivica[SQL:5746] je uzeo Desert Eagle(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:52) Vuk_Koprivica[SQL:5746] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:56) Vuk_Koprivica[SQL:5746] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:01:59) Vuk_Koprivica[SQL:5746] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:02:02) Vuk_Koprivica[SQL:5746] je uzeo Shotgun(30) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:02:25) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
(18/04/2020, 00:02:30) Vuk_Koprivica[SQL:5746] je uzeo TEC9(80) iz Warehousea Skaljarski klan[SQL:7].
